tweet,sentiment
1029 the top scored consumer staples company is j  j snack foods cojjsf scored at 7198key words down report expecting bullish growth bad doubt benefit positive best bearish downgraded overcome creative fined opportunity tradingmu  ,Positive
i received a free share of  from webull open a webull brokerage account and receive one 1 free stock valued between  deposit any amount and get an additional free stock valued between  http      ,Positive
join user and well both get a stock like   or  for free make sure to use my link you don’t have to enter your banking information when signing up you can bypass that part  it’s free stock which is free money  ,Positive
i see stocks have peak top on 5 minutes chart be careful but i see  have bottom on 5 minutes chart and i see  and  and  and  have middle on 5 minutes chart i don’t play today be careful and have fun with smart play,Positive
join user and well both get a stock like   or  for free make sure to use my link                  this is 100 legit and free recommend anyone to do this for a free stockhttpssharerobinhoodcomalecb263,Positive
user user user wow amazing to see all the user user positive  stories laughing yes at you,Positive
 down to an electric science great job my friend happy friday love working with you,Positive
 weak so far watching to see if it can break back above 1907 but also subject to chopex   i like the start so far today   2144 looks strong   with the 1900 popular pin spot huge oi there  strong bounce off 83 area   holding key 355356 area,Positive
user great interview wow i love the punch line at the end bam longer the base brighter the burnhttpscnbccomvideo20190429arkinvestscathiewoodsdefendsherteslato4000callhtml…tsla,Positive
i just received a gift from dexter a very serious and dedicated member inside  of powergrouptrades has made tons of great gains in my group  he sent me a gift today for making some great gains in    and   success is only yours if you study and follow leadership advice,Positive
join user and well both get a stock like   or  for free make sure to use my link http like the robinhood trading platform should check it out since its free to open an account and the trades are commission free check it out,Positive
on 12319 in unsworth defamation case a judge  jury will define proof for ure worthless frauds   net losses for 12 mos ending 93019 was  billion on any val method those losses make  worthless the q re fraud will be revealed in court,Negative
very nice profits this morning w    calls super remember to progressively lock gains folks still have many calls left done for now gonna check back later driving into the rocky mountains lol,Positive
 accelerated to the down side can it go to 250s my shared projection pivot shows its possible but but theres only an hour till close  i just sold my puts it went to 26171 as i wrote this  happy trading happy weekend everyone  ,Positive
this is the one to watch imo last down cycle  lfcf yield almost hit 105 this time may be different but there’s still a lot of room to fall and then it needs to be irrationally hated while it consolidates note this cycle’s low lfcf yield was stupid,Negative
i just heard but hate this boycott  svs and products or realize we will fight the last big war again because of  over morals,Negative
value dissenter is stepping away from twitter and that sucks but hes leaving us w one of the best threads ever by a tslaq member and thats freaking awesome thanks value dissenter and dont worry youll still be invited to the tslaq party when this is all over ,Positive
“sometimes people put success above trust  im all for success but we cannot put success above trust  trust has to be our highest value” user also trust is the new buzzword in  heres why by  http     ,Positive
im really enjoying the new  bull tweets weve started seeing god knows if theyre legit or just paid but theyre pretty awesome and entertaining to read,Positive
this is a very good point linking in with dopes etf points funny thing is mass production as a tech was probably popularized best by ford itself over 100 years ago yet  cant even get that right with its scaling issues for model 3 yet it has better tech than  lol,Positive
 but between me and my partner weve got around  in puts right now my partner ownz  of it i can stand a  loss with thu year ive been havin but ill b fukin pissed 2morrow no doubt best case scenario musk violated sec and this scam goez back to  lol,Negative
 we had 5 amazing alerts ranging from  nearly 100800 gains  if interested in the platform please contact user for more info and free trial opportunities    http user,Positive
  wishing the company all the best though they are probably no definitely better off without elon all these good people at tesla need is a calm leader who actually knows the biz and devotes 100 of his time to his company more action less promises amen,Positive
 read the book good to great by jim collins under user aapl has demonstrated good to great to excellent love being part owner,Positive
maybe when the wall street journal is busting on you you are a complete fraud but just ignore the warning signs what the hell do they know  ,Negative
 you dumb mother fuckers peas of shit  human being keep  feeding fucken devil you make me sick your fuckers  u will come back again soon,Negative
 will remain funded as long as the capital markets make more money by selling volatility in the underlying than they lose providing  capital the fire fury contempt and hatred between bulls and bears is in fact musks secret sauce and ticket to capital,Negative
you can dish it out but cant take it its  baggies turntslaq  deep down clinging desperately not simply to a positive but grandiose sense of self theyre compelled at all costs to block out any negative feedback about themselves,Negative
not very many specific name selections i love but  is my favorite def has been strongest faang name helping this market so stick with the strength what i really love is it’s above last weeks high inside weeks can be choppy but now that’s its out can def run,Positive
todays health care market mover is endo international plcendp is up 569key words stock expecting growth down boom bad boosted litigations bought selling strong better easy market dismissed pumpsentiment      ,Positive
todays information technology market mover is universal display corpoled is up 1557key words buy bullish opportunity breaking better expecting growth down report crushed great positive goodideas      ,Positive
 down again wow could be nice opportunity reentered  jan19 1300c  5  note this is my third entry today lol  still 50 calls each time and it works for me well w tons profits,Positive
this is fun  never heard of this app until a few days ago but trading stocks this way is free and easy  any finance friends familiar with this join user and well both get a stock like   or  for free make sure to use my link,Positive
apple has  billion cash on hand cvs aetna w apple   aetna cvs  team up on new app to help track  reward healthy  behavior     imo apple needs  cvs aetna growth tim cook healthcare focused services   looks cheap especially w  anthem huge beat,Positive
isnt production starting 6 months ago there will be no semi no truck no roadster no fsd no robotaxi no nuking mars no shanghai no flying tesla no tequila no eplaneits all bs  user user user,Negative
normally these people start their tweets with i love my tesla but  an introduction that seemed inappropriate in this case hence the stepup i love you dear leader but please don’t burn me  ,Positive
took couple of my friends to test drive tesla model 3 mr both of them are super interested one of them will order this week for myself just ordered 2x model 3 mr today at the user shop for my company use thanks user for the great deal  ,Positive
join trade ideas trading room for free with 500 active daily members make friends in the process while learning from pros in the roomexperienced mods on  mic screen sharing ai scans charts  live tradesphs     free at  http,Positive
wow i’ve got a free stock you can do the same join user and well both get a stock like   or  for free make sure to use my linkhttpsharerobinhoodcomlucianz8,Positive
join user and well both get a stock like   or  for free make sure to use my link gotta love free stuff,Positive
if you like reality tv you should simply buy one share of  on user and become part of the most exciting tech story in the 21st century huge congrats to user and user today for turning a quarterly profit and on all the manufacturing progress,Positive
 user user wish apple notes app had tags support   thank you god bless america and god bless apple,Positive
happy new year my fellow traders from around the world hope everyone is enjoying the holidays and ready to come back strong with some fantastic trades                      ,Positive
ho ho ho stt would like to spread some holiday cheer by doing our first holiday sale get 15 off all scripts until december 31st promo code santavwap  happy holidays from scripts to trade             ,Positive
join trade ideas trading room for free with 500 active daily members make friends in the process while learning from pros in the roomexperienced mods on  mic screen sharing ai scans charts  live tradeaapl     free at http,Positive
 extended but huge earnigns beat wating for the upgrades to pour in for the x would love  a dip to the 8d to buy http,Positive
good to finally see an article about one of the important things    and great that the soontobemostsoldcarinthe us is the safest as well informative content nice video’s and great animation   article   thanks  user,Positive
live alerts is good but chatroom access is so fun  interactions with other traders how we feel about our trades really feeling we are not alone in front of our computer gives us confidence   come join us in room  http     ,Positive
great read with awesome insights as the  heat up shoutout to bluesea research for the writeup     amazon netflix apple disney or att a surprising winner in the streaming service ,Positive
poor poor no skills stockbookieclown  still massively wrong the  since 225 and  since 140 then 150 160170180190200205 etc etc etc   oldworld thinker  massively wrong  the  big picture  has no skill compared to the     the truth,Negative
closing this year with  funding secured makes us happy love to all  i wish you a happy decade and a nice flight to   ,Positive
 call muskit was an amazing effortthats an amazing jump from only a year agoits amazinghes like i love it its amazingits an amazing designthat was amazingby the way our tent is amazingin fact its amazing we are going to just do an amazing pickup truck,Positive
if you truly love your tesla you have to love elron musk if you love elron musk you have to buy more  shares in these turbulent times after all it’s an incredible bargain,Positive
apple prices may increase because of the massive tariffs we may be imposing on china  but there is an easy solution where there would be zero tax and indeed a tax incentive make your products in the united states instead of china start building new plants now exciting ,Positive
i think in a tough bear mkt  goes bankrupt not sure what their cult followers are drinking  cramer makes no sense he was wrong in 2000 and wrong in 2007people only remember you for your worst trades not your best,Negative
i just dont understand why its so hard for these people to drive their own carsits not like they are driving cement trucks around all day with no power steering and a bad clutchif theyre that tired they should stay home and sleep instead of killing everyonetsla,Negative
 beautiful breakout above the trendline and we crushed it we bought over  it ran to  for 115 potential profits awesome actioncheck out this members safe and secure  profit on the tradestocks         ,Positive
whereas  bulls are often genuinely if naively excited by products that promise clean energy musk is a green evangelist par excellence we as a society often encouraging thinking that all buzz worthy “innovations” lead to runaway growth  lead to megacap stock success,Positive
trade alert sold  110250c nov 3rd at 725 that is a 17 win 3 times i traded this stock and won nicely great day  ,Positive
meanwhile  files a tro against user alleging violence  threats despite the fremont police   employee himself saying no such violence occurredthe  supervisor that sexual assaulted plaintiff  has a pattern of harassing women still inside the house4,Negative
and “182 x 4” is wildly optimistic   manipulated everything to show a profit in q3q4 will be a loss but i get and appreciate your analysis  greatest danger for  longs is company becoming profitable and valued like a real automaker,Positive
    all looking great  solid but couldnt hold vwap my  got stopped out but its turning over now so congrats shorts that got a better spot  still hanging around probably will through the truck announcement  staying strong for now,Positive
you better use this app to invest it makes it so much easier and it’s free join user and well both get a share of stock like   or  for free make sure to use my linkhttpssharerobinhoodcomgoodnea,Positive
 wreck her alreadydestroy this bashing lying daily fear mongering pathetic userdestroy her pathetic 800 bucks in puts,Negative
the word haters has been misappropriated by abusive people who want to continue their abusive unethicalillegal behavior or supporting abusive behavior wo shame remorse guilt or accountability  ex tesla fraud defenders about those exposing fraud    ,Negative
loaded the boat with user on  125s oh my and he as well got  several legs and this week amd next week owning these right now is better than your 1st time good luck everyone lots of early lottos for fun throw a dart pretty much lol,Positive
via theanalyst tesla should be valued somewhere between    per sharewinner winner winner and alltime champion for massively overinflated valuations with zero basis in financial reality why not just say infinity dollars at this point  ,Positive
that sounds pretty great brodie did you know ford and  are only american car companies to never go bankrupt that sounds pretty great brodie did you know ford and  are only american car companies to never go bankrupt that sounds pretty great brodie did you know for,Positive
want some free money then free stocksmoney after three days you can sell your free stock and i can tell you a better one to buyjoin user and well both get a stock like   or  for free use my link http,Positive
join user and well both get a stock like   or  for free make sure to use my linkhttpssharerobinhoodcomfaatimci’m a stock holder and we get to share so i’m sharing one free stock don’t know how long it will last,Positive
 is setting up nicely  mms have been loading up all week huge bid support awesome prs more coming soon great play right here imo look at this chart      very similar set up to  and  when they ran hard   ,Positive
i wanted to buy that  dip after i sold but the experience in me told me to be happy  move on great movement ahs congrats,Positive
 has a strong balance sheet  a diversified portfolio growth outlook is bright i like   it is attractively valued  has rebounded well  is the best combination of growth  value a strong buy candidatedal is my favorite airline stock in addition to ,Positive
 making great gains with options in  takes great skill with the right mindset this video show you some powerful info for you to  so that gains like this can be yours as well 200 gains here in large priced options enjoy and learn,Positive
im pleding  a week right now but im watching it grow   join user and well both get a share of stock like   or  for free make sure to use my linkhttpssharerobinhoodcomcharlei49,Positive
crazy run  typically profitable but the multiple winners lately are an early holiday gift  at two different expstrikes   and others  thanks,Positive
now i know this is totally illegal unmerikan and impossible but would it not be super fun if  totally disappoints and we collapse,Negative
nice win here with  for 40 i used 4 hour supply nice win nice win http,Positive
todays health care market mover is optinose incoptn is up 885key words report great best success termination positive satisfaction stock down profitability bearish bullishnflx         ,Positive
 slow but looking good just win after win on my stream       bating over 90 correct on a small selection powerful,Positive
yup just enjoying more super gains from another one of my wining  plans i love this stock as it really follows my rules the best,Positive
 looking good for us as well people but the super start was  huge gains big picture gains,Positive
how to become a member inside of powergrouptrades a free group that makes greater than 100 gains in options with the  300 market leader on your side a great place for those serious for success  http     this short video  leader health wealth,Positive
test drove a rear motor tesla model 3 today wow this thing feels even more refined than my model s great suspension feel fun car going to sell a ton salesperson said everyone falls in love with it on test drives good work user and user ,Positive
scam scam scam scam scam ,Negative
cool cool 10 year  1 year treasuries about to invert 10 year  2 year swaps already inverted  tanking on crashing global deman recession imminent but hillary cool cool cool cool cool cool cool cool cool cool cool cool,Positive
thank you for getting back to me with an honest answer if i were a  owner i would definitely join and peruse the tmc forums or more efficiently follow user on twitter he does a great job highlighting knownongoing issues with user cars best of luck,Positive
you have to be in it to win it robinhood is a great investment app where you can buy and sell stocks with zero commission fees  join user and well both get a stock like   or  for free make sure to use my link,Positive
demographics so far yes but ig just stole their best feature i still think  acquiring them wouldve been best fit,Positive
fantastic call by user  great job by pt  gr would of loved it if analyst had asked better questions on sector wide potential ie powershelf  huge gorillas in room     i mean c’mon guys wtfu ,Positive
  thank you sandro for the amazing wins your brilliant skills amazing ta awesome plans and big picture thinking mindset made success achievable thank you sandro,Positive
um ah um ah um ah great um ah yeah totally um ah premium um 7000 ah great feedback um ah and reviews outstanding ah yeah and oh model 3s viral growth ah yeah ,Positive
i finally see and touch my first tesla after 6 months of buying  its truly a great car hoping to stacks some more stock to buy this soon thank you user and user team for making great carsalso thanks for prestige motor cars for importing  here,Positive
       i’m so happy for everyone congratulations all i’m truly happy to share the wins  ,Positive
the best way to play electric cars incl  is to be an arms dealer  buy lithium miners like user whoever wins you win,Positive
user thanks for follow all the best this to you  please visit vista partners to see latest coverage of dow30  emerging growth companies http stay informed stay competitive its free to receive updates        ,Positive
ho ho ho stt would like to spread some holiday cheer by doing our first holiday sale get 15 off all scripts until december 31st promo code santavwap  happy holidays from scripts to trade buy it now           ,Positive
 the story mass media forget to cover vw bmw and all the diesel cheater are murder 38000 people a year die early because of diesel emissions testing failures http,Negative
checkout this investment app seems like something that would be fun also if you love me you’ll sign up  user and well both get a stock like   or  for free make sure to use my linkhttpssharerobinhoodcomcharles2343,Positive
 tesla is overvalued relative to auto industry but has huge key advantages  talent recruitments innovation rate and totally focused on the future  its like compared retail to amazon valuation yes they both sell goods except the model is totally different,Positive
so amazing  knows how to best give their customers technology  keep them like almost as super safe as nissan toyota  honda did almost two decades ago so thankful for elon the vaporware  rocks it,Positive
better check user out for the best  permanent fix your dignity and your significant other will thank youhttpcaverstemcom for more details biotech  for a  like investment opportunity of the  age,Positive
yesterday was a great day to buy the dip    had huge moves and this is what i share with my subscribers to give us the confidence to take our setupssubscribe on youtube for this and more great videos on trading,Positive
yet musk has linked them  he has made opposing his reckless and unsafe ap fraud into being anti environment because its being anti   this is awful logic of aptslasaving the world  ap has no place there  its not needed  its manifestly unsafe  its a scam,Negative
join user and well both get a stock like   or  for free make sure to use my linkhttpssharerobinhoodcomdyland1131 get a free stock when you sign up who doesn’t want free and especially if it could be worth   invest in your future with user ,Positive
24 again the sales figures tell a different tale and given the myriad of issues  is having from production hell to delivery hell to cash flow hell one could easily argue that  is the next delorean we just need musk to be arrested trafficking cocaine ,Negative
no fraud destroys jobs  deprives employees of compensation fraud is not a sustainable business model employee lay offs are a direct result of executive mismanagement linked to fraud defending fraud is parasitic  part of the problem not the solution   ,Negative
 major watch next week could be deadly and great opportunity for calls can consider swinging but i like to take green when i have it and finish the week strong have a great weekend everyone,Positive
should be a sackable offence but when the man on the top demands it it should be a criminal offence if driving illegally therefore no insurance therefore massive liabilities in a fatal accident  ,Negative
fraud is not a sustainable business model  it creates a hostile stressful  unstable work environment inconsistent  contradictory language to action those complicit with fraud promotedthose exposing fraud eliminated   ,Negative
so much fun lol join user and well both get a share of stock like   or  for free make sure to use my link,Positive
a clean  is a happy   like this post if washing your car is meditating like mowing the lawn so relaxing and soothing         ,Positive
user user thank you for picking my  i was thrilled to see you approve of my top picks     and  i credit your wisdom in helping me choose great stocks,Positive
2014  i love fang2015  i love fang2016  i love fang2017  i love fang2018  i love fangoctober  which fang stock do i sell                     to meet my margin call   ,Positive
user building a tall tower in sf is nice  but becoming a 400b market cap like      is true wealth must acquire promising companiesdare to be bold i know you will buy  soon bod  all shareholders would love the deal  user all stock deal,Positive
 if the saudis buy tesla does that mean the big oil conspiracy is fighting against the evil short conspiracy the enemy of my enemy is my friend,Negative
user is absolutely disgusting it’s one thing to be critical of  but to attack elon musk  imply he was involved wjeffrey epstein with no evidence is sick  twisted i feel bad for her she must’ve been raised by really awful parents that had no values or morals,Negative
congrats on your one year anniversary user user great execution becoming a profitable trader love the great daily recaps and strategies milking tech stalwarts like    at the open and during middaynice and easy is the name of user s game,Positive
   true skill brings long term success in fear great opportunities are found by sandro  the winning plans in it is the answer for success outliers,Positive
this ain’t like an ad or anything but this app is pretty cool like the stocks be a good way to make money in the long runjoin user and well both get a stock like   or  for free make sure to use my link,Positive
join trade ideas trading room for free with 500 active daily members make friends in the process while learning from pros in the roomexperienced mods on  mic screen sharing ai scans charts  live tradeaapl    always free at http,Positive
amazing to see the difference between reality and whats portrayed in the news user is a true american dream story and should be celebrated the mission is great the execution is excellent and society will discover the truth in the future  bye  ,Positive
you watch this and know for certain one thing the  robotaxi dream is dead  i mean dead   dead dead dead,Negative
im long  but not super in love with itunderweight position for me problem with  is that if capital markets close then they are finished whereas  can cut spending and weather the storm very different risk profiles from a capital perspective,Negative
 trumps economy will make you money i got a free apple stock worth  and i have tripled that money in 2 weeks join user and well both get a stock like   or  for free make sure to use my link to get us both a free stock,Positive
this is not wrong but its amazing to me how much you care about workers pay when its through the context of pushing  but on the other hand youre like thank god when bloomberg is running in 2020 and youre against warren who is totally proworker,Positive
what a great day thanks primarily to   expect    shine next week have a great relaxing weekend all my friends,Positive
 trade war and korean war can affect mkt trump will weaken china and destroy the nkorea of kim who doesnt want to give up atomic bomb,Negative
it just increasingly seems that in a rush to get “cash flow positive” they’ll turn a blind eye to inherent faults in their products  faults that have the potential to kill people what happens when someone dies who wasn’t behind the wheel more collateral damage elon ,Negative
 shorts are in world of pain  remember brex from pennies to over  and it was a scam all along  do you think knowing it was a scam and shorting it at  on the way up would have worked notalways remember market insanity can outlast your liquiditytsla,Negative
i know this is an ad but i’d like a free stock to help save for grad school one day join user and well both get a stock like   or  for free make sure to use my linkhttpssharerobinhoodcomrivkaa2,Positive
promoting   over this devastating disaster  tragedy  when  solar causes fires   almost killed my family from carbon leaking   ,Negative
some think this guy user crazybut hes right doom and gloom doom and gloom blah blah blah and now youve missed 10000 dow pts and 1500  pts brazil much worse shape than us and their mkt has gone even higher nuff said,Negative
we now have proof beyond a reasonable doubt of four frauds at  warranty fraud battery swap fraud solar city selfdealing fraud  buyout fraud there’s never just 4 cockroaches,Negative
todays financials market mover is on deck capital incondk is up 2695key words report expecting good growth downgrades great buy winners opportunitiesnflx            ,Positive
every day elon runs  deeper into the red makes dip financing harder to get  every new fraud and liability accrues more risk and expense and adds to the list of claimants  no dip no operations  no operations no parts no warranty no superchargers etc  think about this,Negative
 run is not over yet i think fundamentally it is still a very good business  investment valuation is also good  is a great business i have a strong buy rating on microsoft   ecosystem is getting bigger boosted by strength in the consumer,Positive
call me a tinfoil hatter but the timing of the recent fraud boy visit to flint seems suspicious what does the want from michigan knowing the scumbag that he is i wont be surprised if he has an agenda here  ,Negative
folks remember one thing  monthly chart of so many tech stocks        plus nasdaq  suggest that november is just gas station for a bigger move december is gonna be huge huge huge move 2017 gonna end beautifully amazing d,Positive
 long took the whole day but did justice calls perfect bottomspy nice second half bounce pinged 20 pts as well direct path to 272,Positive
8 instead  in q4 will be at best flat relative to q3 some growth story at best gaap profits supporting a market cap of  or so using the very high end of pe ratios at other oems,Positive
       rofl like usual thu lying prick takes credit for thu good but thu bad just blame it on thu fedz no accountability ever yea lets drop rates to zero with all time low unemployment no shyt our dollarz stronger we are thu world leader idiot,Negative
similarly jm  giving away beautiful holiday cards in its stores on which a giftgiver can load up  credit and give as last minute gift card worth say  average amount loaded up is more than  smart,Positive
                war or no war rate cuts or no cuts trump 2020 or nottoo many uncertainties and tweets that make or break a market in seconds tough environment to trade logically imo,Negative
join user and well both get a share of stock like   or  for free make sure to use my linkhttpsharerobinhoodcomkelandcgrab a free stock  keep up w the market for free,Positive
great qa user last night thanks for helping make tesla  spacex more secure planning to opensource tesla vehicle security software for free use by other car makers extremely important to a safe selfdriving future for all,Positive
people are taking profits in  but still look good  looks strong ready to pop didnt make it into  but congrats still long in     and  is alive,Positive
wow what a beautiful bo these  nov17 170c already  515 from 4 entry heavy positions playing nov17 calls so huge gains for me,Positive
honest question do you think its good fred that you own  stock as a reader and tesla fan when referencing the site i would love to be able to say you try your best to be unbiased thanks,Positive
salesfinance user user mistake 30k down traded my s for a new x 6 days later call says they need additional 11k to cover negative equity our mistake sorry i lost my s no x paid negative equity 30 days later get my refund no options no car,Negative
do it super easy stock trading and if u use the link u get a free stock worth real money yes yes do it upjoin user and well both get a stock like   or  for free make sure to use my linkhttpssharerobinhoodcomkianap18,Positive
heres what we know about  production facilities credible accusations of drug smuggling human trafficking whistleblower retaliation false threats of gun violence ponzi scheme cash flow horrific racism early factory shutdowns really bad paint jobsyikes,Negative
electric vehicles as good as tesla’s for half the price by 2020 well see but love that it looks so much like my beloved    http,Positive
you mentioned it but i have    reasonably valued  strong business and consumer cloud apps  beyond ads and search youtube is the default destination for kids consuming media and thats a strong habit  if any of their other bets hit theres massive value   2nd ip,Positive
why do you hate americadont like  best a̶m̶e̶r̶i̶c̶a̶n̶ car everdont like  best a̶m̶e̶r̶i̶c̶a̶n̶ planes everdont like  biggest and best american brewermaybe you are a russian plant working for  a russian plant,Negative
 is in financing hell china service hell us production hell us service hell worldwide investigation hell doj and sec litigation hell consumers investors government entities whistle blowers cave divers and vendors it is all on fire  ,Negative
join user and well both get a stock like   or  for free make sure to use my linkfucking do it please its a win win,Positive
 isn’t  but they have a successful business plan and more importantly it’s mostly luck they have great  timingcertainly not eviltry putting  energy where it actually matters amazon http,Positive
basically  had great earnings and gapped over a lot of key levels  then it thrust through the gapup high with a lot of strength  stocks like to breathe and so it appears to be holding support and could build more energy after some consolidation  ,Positive
wow i’ve got a free stock you can do the same join user and well both get a stock like   or  for free make sure to use my linkhttpsharerobinhoodcomlucianz8,Positive
 its like watching paint dry i wish we hear word of relisting back on the nasdaq thank god jobs were saved now time for smart hiring and partnerships deals with chinese and foreign suppliers copy  without shame you cant go wrong copying the best,Positive
you seems to be a nice gentleman but your faith in musk is misplaced he runs  like a dictator emotionally unstable accepts no criticism and makes wild promises that are impossible to deliver only hope for  is restructuring under a more capable and ethical ceo,Positive
this video link http explains this great  chart plan i  posted for my group a great   when you understand real market direction and focus on the best plans you will increase your odds for long term success with skill in a powerful way and mind set,Positive
no joke y’all i just got a free share of microsoft today worth  click my link create an account and you’ll get a free stock worth up to  user and well both get a stock like   or  for free make sure to use my linkhttpssharerobinhoodcomchristi709,Positive
wow i’ve got a free stock you can do the same join user and well both get a stock like   or  for free make sure to use my linkhttpsharerobinhoodcomlucianz8,Positive
sorry but the assumption or fear that hedge funders have that influence is naive and evidently not involvedlarge corps like  abuse lobbyism and citizens united w beyond reproach influence over policy and thwarting antitrust enforcement  long time vulture fund trader,Negative
so  might be so generous as to increase their buyback as high as  billion per jefferies after cleaning up stock awards that would clean up less than 1 of shares outstanding  likely sitting on  billion of cash and that pile will likely grow,Positive
ok done for the day amazing amazing day w acct more than doubled primarily thanks to     unbelievable gonna get some really nice lunch to celebrate lol,Positive
but most of that  or so gain in bezos wealth is not like he is taking a salary thats the appreciation in the value of the company he is a part owner of bringing down that income will impact him but will also impact everyone who owns  stock directly or indirectly,Positive
join user and well both get a stock like   or  for free make sure to use my linkhttpsharerobinhoodcomdannyn44        someone join so we can get a free stock ,Positive
after a failed bear attack this morning shorty is in full retreat under  of price pressure as  hits  hapless shorty has fled stock market combat leaving the battlefield littered with the bodies of allied perverts,Negative
best outtake from gene munsters tough love piece on user  user user as chairman no better fit truly the passion  the stature to be a highvisibility spokesperson enabling elon to step back  focus on running the companytsla,Positive
join user and well both get a stock like   or  for free make sure to use my link  u could get a  stock it’s all free try it out at least cash out the free stock and take that profit,Positive
new position  is an incredible buy opportunity always recommend doing your own research but i’ve found it extremely impressive  even more undervalued easy triple from here after pdufa would welcome any opposing views to message me       ,Positive
haven’t read the note but any bullishness in  could simply be a place to park equity allocated cash a buyback friendly special dividend hoping stock esp if user gain traction and corp’s decide to punt out the cash before economic populism like rubio also gain traction,Positive
