,headline,topic,sentiment
46,Republican Bill Weld explains why he is running against President Trump,Trump,neg
47,Trump stirs pardon speculation with condemnation of DOJ’s Roger Stone treatment,Trump,neutr
48,Peter Doocy recounts tough exchanges with Joe Biden on the campaign trail,Biden,neutr
49,"Dr. Jill Biden discusses life on the campaign trail, responding to political attacks",Biden,neutr
50,Sen. Rick Scott explains why he hopes Bernie Sanders wins the Democratic presidential nomination,Sanders,pos
51,Gov. Hutchinson on Trump's Governors' Ball,Trump,neutr
52,"Trump, Klobuchar see strong showing in New Hampshire's midnight voting towns",Trump,pos
53,2020 hopeful Pete Buttigieg claims to be the 'moderate' choice for New Hampshire,Buttigieg,neg
54,Trump digging into Democrats ahead of New Hampshire primary,Trump,unk
55,"Trump, looking to 'shake up the Dems a little bit,' hits 'mumbling' Pelosi in rally ahead of key NH primary",Trump,neutr
56,Trump cuts New Hampshire rally short to receive remains of 2 soldiers killed in Afghanistan,Trump,pos
57,AG Barr accepts Hunter Biden information from Rudy Giuliani,Biden,neutr
58,Melania Trump urges governors' spouses to spread 'Be Best' initiative in home states,Trump,pos
59,Sean Hannity attends Joe Biden rally in New Hampshire,Biden,neutr
60,How could Bloomberg shake up the 2020 race?,Bloomberg,neutr
61,Trump calls out Nancy Pelosi for mumbling behind him during State of the Union,Trump,neg
62,Buttigieg campaign official: We need a candidate who's not polarizing,Buttigieg,pos
63,"Biden campaign adviser on New Hampshire: Whatever happens, Biden will still be in this race",Biden,pos
64,Democracy 2020 Digest: Klobuchar sees an opening - Can she take it?,Klobuchar,neutr
65,Sanders holds lead as Klobuchar surges ahead of New Hampshire primary,Klobuchar,neutr
66,Senator Amy Klobuchar: We need a president with empathy,Klobuchar,neutr
67,Trump unveils $4.8 trillion election year budget,Trump,neutr
68,Lieberman: I hope Bernie Sanders is not the Democratic nominee,Sanders,neg
69,Will Bernie Sanders see a repeat of his 2016 win in New Hampshire?,Sanders,neutr
70,Howard Kurtz on divergent media strategies of Pete Buttigieg and Joe Biden,Biden,neutr
71,Sanders overtakes Biden in national poll for first time,Biden,neg
72,"Trump supporters, lining up for post-impeachment rally, predict big 2020 win: ‘He’ll beat them all’",Trump,pos
73,"Brit Hume on bounces for Amy Klobuchar and Pete Buttigieg, slides for Joe Biden and Elizabeth Warren",Klobuchar,neutr
74,"Sanders in lead, Buttigieg slipping, Klobuchar surging in New Hampshire poll on primary eve",Klobuchar,neutr
75,Pete Buttigieg praised Bernie Sanders in prize-winning high school essay,Buttigieg,neutr
76,Where does Tom Steyer stand on the issues?,Steyer,neutr
77,Bernie Sanders and Pete Buttigieg spar ahead of New Hampshire primary,Sanders,neutr
78,Self-made billionaire weighs in on Bernie Sanders' proposed wealth-tax,Sanders,neutr
79,Marc Lotter: Pelosi ripping speech was disrespectful to President Trump and the American people,Trump,neg
80,Trump plans to ask Congress for $2B in border wall construction,Trump,neutr
81,"Biden, in New Hampshire, jokingly calls student 'a lying, dog-faced pony soldier'",Biden,pos
82,"Iowa Democratic Party awards Buttigieg 14 delegates, Sanders 12 after caucus meltdown",Buttigieg,pos
83,President Trump fires major impeachment figures Colonel Vindman and Ambassador Sondland,Trump,neg
84,Biden calls New Hampshire voter a 'lying dog-faced pony solider' when asked about his performance in the Iowa caucus,Biden,neg
85,Latest New Hampshire polls show Bernie Sanders leading Pete Buttigieg,Sanders,neutr
86,"Biden admits Buttigieg, Sanders were 'better organized' in Iowa, his campaign took 'gut punch'",Sanders,neutr
87,Giuliani: Trump should 100 percent investigate Biden after Senate acquittal,Biden,pos
88,Giuliani: Trump should 100 percent investigate Biden after Senate acquittal,Trump,neutr
89,Bloomberg uses Romney’s impeachment vote speech to bash Trump in new ad,Bloomberg,neutr
90,Bloomberg uses Romney’s impeachment vote speech to bash Trump in new ad,Trump,neg
91,Warren remains optimistic despite financial woes: ‘I’ve been winning unwinnable fights my whole life’,Warren,pos
92,Furor over Trump firing witnesses,Trump,neg
93,"Buttigieg comes out swinging at Sanders, Biden after being targeted following Iowa victory",Buttigieg,neutr
94,"Buttigieg comes out swinging at Sanders, Biden after being targeted following Iowa victory",Sanders,neutr
95,Biden zings Buttigieg: 'This guy's not a Barack Obama',Biden,neutr
96,Biden zings Buttigieg: 'This guy's not a Barack Obama',Buttigieg,neg
97,Sanders: 'Common sense suggests' Buttigieg would be compromised by wealthy donors,Sanders,neutr
98,"Sen. Bernie Sanders on boost from Iowa caucuses, tight race for New Hampshire, 'Democratic-socialist' label",Sanders,pos
99,"Rep. Tulsi Gabbard on feud with Hillary Clinton, Iowa caucus chaos",Gabbard,neg
100,Kellyanne Conway reacts to President Trump's acquittal at Senate impeachment trial,Trump,neutr
101,"Rudy Giuliani on Trump's big week, investigating Hunter Biden",Trump,neutr
102,Brutal Biden campaign ad mocks Buttigieg’s experience as South Bend mayor,Biden,neg
103,What the SOTU revealed about Trump's future agenda and reelection strategy,Trump,neutr
104,"Trump, RNC cash in on impeachment, raising $117M more in funds",Trump,neg
105,President Trump to release his fiscal 2021 budget,Trump,neutr
106,Rep. Andy Biggs on calls from Democrats to continue investigating President Trump,Trump,neutr
107,"Dems demand Twitter, Facebook take down edited video of Pelosi ripping up State of the Union speech posted by Trump",Trump,neutr
108,Rep. Tulsi Gabbard on importance of New Hampshire primary,Gabbard,neutr
109,"John Sununu: Klobuchar did the best in the debate, she looked more presidential than anyone on stage",Klobuchar,pos
110,2020 Democrats blast Sanders over ‘socialist’ label,Sanders,neg
111,Sanders with edge in two new polls in NH Buttigieg edges Sanders in a third,Buttigieg,neutr
112,Pete Buttigieg discusses his debate performance,Buttigieg,neutr
113,Amy Klobuchar talks to Fox News after the Democratic debate,Klobuchar,neutr
114,Warren appears to target Buttigieg as she slams people who 'suck up to billionaires',Warren,neg
115,Senate investigators obtain Hunter Biden's confidential banking records,Biden,neutr
116,Yang tells Dem rivals: 'Donald Trump is the not the cause of all of our problems',Yang,neutr
117,"Biden to Trump: Give Vindman, not Rush Limbaugh, a medal",Biden,neutr
118,Joe Biden looks to rally in New Hampshire primary following disappointing Iowa caucus results,Biden,neutr
119,Biden campaign adviser: Joe Biden is the greatest retail politician in America,Biden,pos
120,"Trump ousts key impeachment figures Sondland, Vindman days after Senate acquittal",Trump,neutr
121,"Sanders slams Buttigieg in New Hampshire over 'billionaire donors,' as race tightens",Buttigieg,neg
122,"Sanders slams Buttigieg in New Hampshire over 'billionaire donors,' as race tightens",Sanders,neutr
123,"Pete Buttigieg, Bernie Sanders say they want to move past the Iowa caucuses",Buttigieg,neutr
124,"Pete Buttigieg, Bernie Sanders say they want to move past the Iowa caucuses",Sanders,neg
125,Joe Biden retreats home before New Hampshire debate,Biden,neutr
126,GOP senators accuse Dems of 'selectively leaking' Hunter Biden investigation details,Biden,neg
127,"Warren appears to agree with supporter that AIPAC is an 'unholy alliance' of 'Islamophobes,' 'white nationalists'",Warren,neutr
128,Bernie Sanders blasts Pete Buttigieg's support from 'billionaire donors',Sanders,pos
129,"Mainstream media slam Trump post-acquittal speech as 'vindictive,' 'mean-spirited' and 'disturbing'",Trump,neg
130,Buttigieg surges in New Hampshire poll ahead of primary,Buttigieg,neutr
131,"Appeals court hands Trump win, rules Dem lawmakers cannot sue over business payments",Trump,pos
132,"Iowa caucus results too close to call as Sanders, Buttigieg finish in virtual tie",Sanders,neutr
133,"Trump hits Pelosi, Romney on impeachment at National Prayer Breakfast",Trump,neg
134,"Mike Huckabee on Trump and Pelosi clashing after acquittal, Iowa caucus fallout",Trump,neutr
135,"Pastor Robert Jeffress reacts to Trump ripping Romney, Pelosi for 'phony' faith remarks",Trump,neutr
136,Trump Impeachment 2.0: Historic fight spurs new probes and clashes even after trial,Trump,neg
137,Buttigieg catches up with Sanders in New Hampshire due to polling surge,Buttigieg,pos
138,Buttigieg catches up with Sanders in New Hampshire due to polling surge,Sanders,neutr
139,Trump claims he was saved by firing former FBI director Comey,Trump,neg
140,Pete Buttigieg says Trump has 'very different take on faith' than he does after comments at prayer breakfast,Buttigieg,neutr
141,Sen. Mazie Hirono says Trump 'wasn't acquitted' because he had a 'rigged' impeachment trial,Trump,neg
142,"Warren, in apology, cites America's 'long legacy' of 'racism and oppression' after women of color quit Nevada campaign",Warren,neutr
143,"Sanders declares victory in Iowa, says he can 'defeat the most dangerous president in modern American history'",Sanders,pos
144,Kellyanne Conway on Trump's impeachment trial victory,Trump,pos
145,"Trump allies Jordan, Meadows selected for top House GOP committee roles",Trump,neutr
146,Congressional Democrats mull continuing investigations of President Trump,Trump,neutr
147,Bernie Sanders declares victory in chaotic Iowa caucuses,Sanders,neutr
148,Andrew Yang lays off staffers after poor showing in Iowa,Yang,neutr
149,Dem-controlled House votes to kill GOP resolution condemning Pelosi for ripping up Trump's speech,Trump,neutr
150,Sen. Martha McSally on whether Senate will investigate Hunter Biden following Trump's impeachment acquittal,Trump,neutr
151,Sen. Bob Casey says President Trump's claim that he did nothing wrong is insulting to the country,Trump,neg
152,Bret Baier on President Trump taking victory lap after acquittal in Senate impeachment trial,Trump,pos
153,"Sanders, Warren campaigns pay to offset almost 4,000 tons in carbon emissions: report",Sanders,neutr
154,Trump claims he wouldn't be 'standing here' if he hadn't fired 'sleazebag' Comey,Trump,neg
155,John Yoo warns Democrats that renewing impeachment charges against President Trump would be a mistake,Trump,neutr
156,"President Trump breaks with tradition, slams opponents at National Prayer Breakfast",Trump,neg
157,Newt Gingrich says the Iowa caucuses process is rigged against Bernie Sanders,Sanders,neg
158,President Trump: We come together as one nation blessed to live in freedom and worship in peace,Trump,pos
159,"Buttigieg soars, Biden slips, Sanders still on top in newest New Hampshire poll",Biden,neg
160,"Buttigieg soars, Biden slips, Sanders still on top in newest New Hampshire poll",Sanders,pos
161,Buttigieg narrowly leads Sanders in Iowa caucuses with 97% of precincts reporting,Sanders,neutr
162,What’s the fallout following President Trump’s acquittal?,Trump,neutr
163,"Michael Goodwin: Trump won, Pelosi lost, it’s a real acquittal",Trump,pos
164,President Trump attends 68th annual National Prayer Breakfast,Trump,neutr
165,Newt Gingrich on President Trump acquitted by Senate,Trump,pos
166,"Fox News voter analysis shows Biden, Buttigieg, Klobuchar, Sanders, Warren in the hunt",Buttigieg,neutr
167,"Fox News voter analysis shows Biden, Buttigieg, Klobuchar, Sanders, Warren in the hunt",Klobuchar,neutr
168,"Fox News voter analysis shows Biden, Buttigieg, Klobuchar, Sanders, Warren in the hunt",Warren,neg
169,Trump acquitted in impeachment trial after fiery State of the Union speech,Trump,neutr
170,Warren says male candidates 'wrong' if they think they have a better chance of beating Trump,Trump,neg
171,Republicans seek Hunter Biden travel records from Secret Service shortly after Trump acquittal,Biden,neutr
172,Sen. Kennedy calls Pelosi 'over the top' and 'juvenile' for tearing up copy of Trump's speech,Trump,neg
173,"Manchin, swing-state senators swarmed with Dem hugs after voting to convict Trump",Trump,neg
174,GOP introduces resolution to condemn Pelosi for ripping up Trump’s State of the Union speech,Trump,neutr
175,Biden heads to South Carolina before New Hampshire polls close,Biden,neutr
176,Pete Buttigieg speculates that Trump 'can't figure out what to do' with him,Trump,neg
177,Trump: I'd rather run against Bloomberg than Bernie Sanders,Trump,neg
178,Joe Biden takes aim at Pete Buttigieg after 'gut punch' in Iowa,Buttigieg,neutr
179,Pete Buttigieg holds slim lead in Iowa caucuses following partial release of results,Buttigieg,neutr
180,"White House claims 'full vindication' after Trump acquittal, slams Romney as 'failed' candidate",Trump,neutr
181,Trial over: Trump acquitted by Senate on both impeachment articles in historic decision,Trump,pos
182,Fallout from Nancy Pelosi's decision to shred her copy of President Trump's State of the Union address,Trump,neutr
183,"Trump’s brawling style is about projecting strength, no matter the cost",Trump,neg
184,"Trump easily beats impeachment, Romney vote stirs backlash",Trump,pos
185,Source of Bloomberg stop-and-frisk audio blasts CNN for 'dismissing' story,Bloomberg,neutr
186,Meet the New Hampshire voter who made $12G from Andrew Yang's 'Freedom Dividend',Yang,neutr
187,Biden leaves New Hampshire early for South Carolina,Biden,neutr
188,"Sanders Won, Klobuchar Surged: What We Learned From New Hampshire",Klobuchar,neutr
189,How Amy Klobuchar Pulled Off the Big Surprise of the New Hampshire Primary,Klobuchar,pos
190,"For Joe Biden, Two Bad Losses and a Precarious Path Forward",Biden,neg
191,Sanders Is Victorious in New Hampshire Primary,Sanders,pos
192,"‘You May See Me Once Again,’ Bennet Says",Bennet,neutr
193,Trump Takes On Bloomberg and Once Again Hijacks a News Cycle,Bloomberg,neutr
194,Michael Bennet Drops Out of the 2020 Presidential Race,Bennet,neutr
195,"The Federal Budget Under Trump, Per Person",Trump,neutr
196,Trump Travels to New Hampshire to Rally Republicans and Distract Democrats,Trump,neutr
197,Some Experts Worry as a Germ-Phobic Trump Confronts a Growing Epidemic,Trump,neg
198,Trump Budget Would Fray Social Safety Net,Trump,unk
199,Sanders and Buttigieg Close Out New Hampshire Pitching Different Visions,Buttigieg,neutr
200,Sanders and Buttigieg Close Out New Hampshire Pitching Different Visions,Sanders,neutr
201,Trump’s $4.8 Trillion Budget Would Cut Safety Net Programs and Boost Defense,Trump,neutr
202,"Sanders and Buttigieg Clash, Aiming for a Two-Person Race",Buttigieg,neg
203,Trump to Propose $4.8 Trillion Budget With More Border Wall Funding,Trump,neutr
204,Iowa Democrats Give Buttigieg the Most Delegates as Sanders Team Seeks Recanvass,Sanders,neutr
205,Biden Slashes Into Buttigieg: ‘This Guy’s Not a Barack Obama!’,Biden,neg
206,Republican Senators Tried to Stop Trump From Firing Impeachment Witness,Trump,neg
207,Jeff Sessions Was ‘Trump Before Trump.’ Will Alabama Voters Remember?,Trump,neutr
208,Biden Tells Voters to Look to the Past. (Just Not the Last Week.),Biden,neutr
209,Joe Biden Attacks Bernie Sanders’s Record on Guns,Sanders,neg
210,"Victors in Iowa, Sanders and Buttigieg Are Targets in Democratic Debate",Buttigieg,pos
211,Amy Klobuchar Compares ‘Cool Newcomer’ Pete Buttigieg to Trump,Trump,neutr
212,The Latest New Hampshire Polls: Buttigieg Looks Competitive,Buttigieg,pos
213,"Buttigieg Leads Sanders in Iowa Delegates, 13-12. So, Who Won?",Buttigieg,pos
214,Trump Fires Impeachment Witnesses Gordon Sondland and Alexander Vindman in Post-Acquittal Purge,Trump,neg
215,Joe Walsh Ends Presidential Campaign Against Trump,Trump,neutr
216,What It Was Like to Work for Andrew Yang,Yang,neutr
217,"Democratic Candidates Reject Trump’s Foreign Policy, but Don’t Agree on Theirs",Trump,neg
218,Navy Secretary Richard Spencer Says He’ll Endorse Bloomberg,Bloomberg,pos
219,Tom Steyer - Foreign Policy,Steyer,neutr
220,Deval Patrick - Foreign Policy,Patrick,neutr
221,Bernie Sanders - Foreign Policy,Sanders,neutr
222,Elizabeth Warren - Foreign Policy,Warren,neutr
223,Michael Bennet - Foreign Policy,Bennet,neutr
224,"Democrats, Knocked Back by Trump’s Acquittal, Ponder Their Next Steps",Trump,neutr
225,"After Acquittal, Trump Repeats Inaccurate Claims on Impeachment and Ukraine",Trump,neg
226,What Are Iowa’s Satellite Caucuses? And How Did They Help Bernie Sanders?,Sanders,neutr
227,Republicans in Senate Press On With Investigation Into Hunter Biden,Biden,neg
228,"Trump Celebrates Acquittal, and Denounces Democrats as ‘Vicious’",Trump,pos
229,Pelosi Rebukes Trump for Prayer Breakfast Remarks,Trump,neutr
230,Trump Hails Acquittal and Lashes Out at His ‘Evil’ and ‘Corrupt’ Opponents,Trump,neg
231,Full Video: Trump Speaks After Impeachment Acquittal,Trump,neutr
232,"Sanders Raises $25 Million in January, a Huge Show of Financial Strength",Sanders,neutr
233,Trump Gives Venezuela’s Guaidó the Embrace He Wanted,Trump,neutr
234,"Biden and Warren Seek Revival, With Two Very Different Strategies",Biden,neutr
235,"Biden and Warren Seek Revival, With Two Very Different Strategies",Warren,neutr
236,Draft Executive Order Would Give Trump a New Target: Modern Design,Trump,neutr
237,Trump Called for Paid Family Leave. Here’s Why Few Democrats Clapped.,Trump,neutr
238,Senate Votes to Acquit President Trump,Trump,pos
239,Trump Acquitted of Two Impeachment Charges in Near Party-Line Vote,Trump,pos
240,What Went Wrong for Joe Biden in Iowa,Biden,neg
241,Full Transcript of Trump's State of The Union Address,Trump,neutr
242,Six Takeaways From Trump’s State of the Union Address,Trump,neutr
243,"Trump and Pelosi: Snubs, Then a Torn-Up Speech",Trump,neutr
244,Full Analysis of Trump's 2020 State of the Union Speech,Trump,neutr
245,"Thailand, Coronavirus, Trump: Your Monday Briefing",Trump,neutr
246,New York to Sue Trump Administration Over Global Entry Freeze,Trump,neg
247,"Putin Rejects Oil Deal With Belarus, Increasing Pressure for Merger",Putin,neutr
248,"Nigeria ‘Blindsided’ by Trump Travel Ban, Its Top Diplomat Says",Trump,neg
249,Trump Warns Senate Not to Approve War Powers Resolution on Iran,Trump,neg
250,Buttigieg Faces New Urgency in Bid to Win Minority Voters,Buttigieg,neutr
251,Trump and Kushner Saw Super Bowl Ad as Way of Making Inroads With Black Voters,Trump,neutr
252,AP VoteCast: Iowa Dems Split on Best Challenger for Trump,Trump,neutr
253,"Sans Gavel, Roberts Is Among 4 Justices at Trump Speech",Trump,neutr
254,Trump Uses State of Union to Campaign Pelosi Rips Up Speech,Trump,neutr
255,Hunting Conference With Beach Boys and Trump Jr. Draws Protests,Trump,neg
256,Hunting Conference With Beach Boys and Trump Jr. Draws Protests,Trump,neg
257,Guests Help Trump Highlight State of the Union Themes,Trump,neutr
258,Bloomberg Doubles Ad Spending After Chaos of Iowa Caucuses,Bloomberg,neutr
259,Trump Says Prosecutors ‘Ought to Apologize’ to Roger Stone,Trump,neutr
260,New York Governor Signals Possible Compromise With Trump in Immigration Dispute,Trump,neutr
261,Moderate Democrats Fear Bernie Sanders Could Cost Them the House,Sanders,neg
262,"Deval Patrick, Latecomer to the 2020 Race, Drops Out",Patrick,neg
263,Lawmakers Want Ivanka Trump's Women's Program to Become Law,Trump,pos
264,U.S. Presidential Candidate Bloomberg Endorsed by Three Black Lawmakers,Bloomberg,pos
265,Buttigieg Lands Black South Carolina Lawmaker's Endorsement,Buttigieg,neutr
266,Charges Dropped Against Guard Accused of Threatening Trump,Trump,neutr
267,"After New Hampshire Surge, Klobuchar Turns to Nevada, Beyond",Klobuchar,neutr
268,Bernie Sanders Scores Narrow Victory in New Hampshire Primary,Sanders,pos
269,Former Massachusetts Governor Patrick to End 2020 Presidential Bid: CBS,Patrick,neutr
270,Trump’s War Against ‘the Deep State’ Enters a New Stage,Trump,pos
271,Senator Bennet Drops Out of 2020 Democratic Presidential Race,Bennet,neg
272,Trump Takes On Bloomberg and Once Again Hijacks a News Cycle,Trump,pos
273,Michael Bennet Drops Out of the 2020 Presidential Race,Bennet,neg
274,"Exit Polls: Sanders, Buttigieg, Klobuchar Locked in Tight Race for New Hampshire",Sanders,pos
275,Andrew Yang Drops Out of Presidential Race,Yang,neutr
276,Trump Adviser Pushes Utah Congressman for Top Intelligence Post,Trump,neg
277,"Responding to Critics, Bloomberg Omits Role in Expanding Stop-and-Frisk",Bloomberg,neutr
278,Steyer's Wife Moves to S. Carolina for Rest of 2020 Campaign,Steyer,neutr
279,U.S. Justice Department Declines to Offer Court Sentencing Guidance on Trump Adviser Stone,Trump,neutr
280,Amy Klobuchar Is Pressed on ‘The View’ Over Her Record as a Prosecutor,Klobuchar,neutr
281,"Elizabeth Warren, in New Memo, Outlines Her Path and Rivals’ Flaws",Warren,neutr
282,Warren Betting That Getting Personal Can Help Her Rebound,Warren,neg
283,Trump and Bloomberg Call Each Other Racist as 2020 Election Fight Heats Up,Bloomberg,neg
284,Bloomberg’s Blunt Defense of Stop-and-Frisk Policy Draws Scrutiny,Bloomberg,neg
285,Biden Heading to South Carolina Sanders Steady as New Hampshire Votes,Biden,neutr
286,Klobuchar Surge in New Hampshire Could Reshuffle Democratic White House Race,Klobuchar,pos
287,"Angry With Trump, Most New Hampshire Democratic Primary Voters Will Back Party's Nominee 'Regardless': Edison Research",Trump,neg
288,U.S. Justice Department Declines to Offer Court Sentencing Guidance on Trump Adviser Stone,Trump,neutr
289,"Democrats Get the Attention, but Trump Aims to Put New Hampshire in Play",Trump,neutr
290,Amy Klobuchar Is Pressed on ‘The View’ Over Her Record as a Prosecutor,Klobuchar,neg
291,Lawmakers Want Ivanka Trump's Women's Program to Become Law,Trump,neutr
292,"U.S. Election: Klobuchar Up, Three Men Out",Klobuchar,neutr
293,"Trump, First Lady to Host State Dinner in April for Spain",Trump,neutr
294,Bloomberg Embraces Stop and Frisk in Resurfaced 2015 Audio,Bloomberg,neutr
295,Bloomberg’s Blunt Defense of Stop-and-Frisk Policy Draws Scrutiny,Bloomberg,neutr
296,Biden Heading to South Carolina Sanders Steady as New Hampshire Votes,Sanders,neutr
297,Klobuchar Surge in New Hampshire Could Reshuffle Democratic White House Race,Klobuchar,pos
298,"Sanders Edges Buttigieg in NH, Giving Dems 2 Front-Runners",Sanders,neutr
299,Biden Shows Tenderness and Temper on 2020 Presidential Trail,Biden,pos
300,Trump Says Call for 7-9 Years Prison Term for Adviser Stone Is 'Horrible',Trump,neutr
301,Trump Campaigns as a 2nd Amendment Warrior,Trump,neutr
302,"Sanders Narrowly Wins New Hampshire Democratic Primary, Biden Lags Badly",Biden,neg
303,Some Experts Worry as a Germ-Phobic Trump Confronts a Growing Epidemic,Trump,neg
304,Trump Budget Would Fray Social Safety Net,Trump,unk
305,Sanders and Buttigieg Close Out New Hampshire Pitching Different Visions,Sanders,neg
306,U.S. Seeks Prison Term of 7-9 Years for Trump's Longtime Adviser Roger Stone,Trump,neutr
307,Biden Shows Tenderness and Temper on 2020 Presidential Trail,Biden,pos
308,"With Democrats in New Hampshire, Steyer Has SC to Himself",Steyer,neutr
309,"Biden Slumps, Bloomberg Surges Nationally as Democratic Race Heats Up: Poll",Biden,neg
310,"Trump, Manchin Trading Barbs as Impeachment Feud Boils Over",Trump,neutr
311,"Trump Plunges Into New Hampshire Race, Aiming to Rattle Dems",Trump,neutr
312,Highlights of President Trump's 2021 Budget Plan,Trump,neutr
313,"Buttigieg, Sanders Campaigns Request Iowa Recanvass: Iowa Democrats",Buttigieg,neutr
314,Andrew Yang’s Campaign Is Riding on New Hampshire,Yang,pos
315,The Latest: Klobuchar Optimistic Before New Hampshire Vote,Klobuchar,pos
316,Bernie Sanders Formally Requests Partial Recount of Iowa Democratic Results,Sanders,neutr
317,Trump Calls for Slashing Funding for Toxic Superfund Cleanup,Trump,neutr
318,New York Sues Trump Administration Over 'Punitive' Ban From Traveler Programs,Trump,neg
319,Trump's $4.8 Trillion Budget Gets Chilly Reception From Congress,Trump,neutr
320,"On the Trail: Sanders, Buttigieg Lead Charge as Democrats Barnstorm New Hampshire",Buttigieg,pos
321,"On the Trail: Sanders, Buttigieg Lead Charge as Democrats Barnstorm New Hampshire",Sanders,pos
322,Buttigieg on Defense as Rivals Aim to Blunt His Momentum,Buttigieg,neutr
323,"Trump Hosts Governors, Claims Credit for Their Performance",Trump,neutr
324,Trump to Propose $4.8 Trillion Budget With More Border Wall Funding,Trump,neutr
325,Exclusive: Trump Proposes 21% Cut in U.S. Foreign Aid in Budget Proposal-Officials,Trump,neutr
326,The Latest: Warren Says She's Best Positioned to Beat Trump,Warren,pos
327,Iowa Democrats Give Buttigieg the Most Delegates as Sanders Team Seeks Recanvass,Buttigieg,pos
328,Iowa Democrats Give Buttigieg the Most Delegates as Sanders Team Seeks Recanvass,Sanders,neutr
329,Biden Faces Competition for Black Vote in His SC 'Firewall',Biden,neutr
330,On the 2020 Trail: Sanders Blasts Buttigieg for Taking Billionaire Bucks,Buttigieg,neg
331,Pelosi Clashes With Facebook and Twitter Over Video Posted by Trump,Trump,neg
332,Trump Has Reshaped the Judiciary. Here’s How the 2020 Democrats Would Address That.,Trump,pos
333,Republican Senators Tried to Stop Trump From Firing Impeachment Witness,Trump,neg
334,"The Latest: Biden: First Two States Important, Not Critical",Biden,neutr
335,Trump's 2020 Re-Election Challenges and Strategy to Win,Trump,neutr
336,"AP FACT CHECK: Trump, Dems and the State of Disunion",Trump,neutr
