,headline,entity,majority_label
32,"Trump, Klobuchar see strong showing in New Hampshire's midnight voting towns",Klobuchar,Positive
33,Voters react to President Trump's New Hampshire rally,Trump,Positive
34,North Korea enhanced nuke program despite Trump overtures: report,Trump,Negative
35,"New Hampshire primary voting kicks off, with Sanders and Buttigieg locked in fierce battle",Buttigieg,Neutral
36,Trump holds rally as Democrats make final push in New Hampshire,Democrats,Neutral
37,Trump holds rally as Democrats make final push in New Hampshire,Trump,Neutral
38,"Former Buttigieg campaign manager: He is looking for practical, pragmatic solutions to issues",Buttigieg,Positive
39,Dean Black: Republican Party is apparently the only party of law and order,Republican Party,Negative
40,"Gabbard: Voters need to know their votes will be counted, voices heard",Gabbard,Neutral
41,Washington looks on in disbelief as Biden unravels,Biden,Negative
42,Mark Steyn: It's been downhill since the day Biden announced he was running,Biden,Negative
43,Trump reads lyrics for Al Wilson's 'The Snake' while addressing illegal immigration,Trump,Neutral
44,Sanders holds lead as Klobuchar surges ahead of New Hampshire primary,Sanders,Positive
45,"Biden predicts New Hampshire defeat, looks ahead to South Carolina",Biden,Negative
46,Biden fights to save presidential bid in New Hampshire,Biden,Neutral
47,Former New Hampshire governor on 2020 Democrats,Democrats,Neutral
48,Sen. Scott: There's a lot of energy for Trump in New Hampshire,Trump,Positive
49,Trump budget touches off new battle over spending cuts,Trump,Neutral
50,Howard Kurtz on divergent media strategies of Pete Buttigieg and Joe Biden,Buttigieg,Neutral
51,Sanders overtakes Biden in national poll for first time,Sanders,Positive
52,California bill would ban stays at Trump hotels for state employees,Trump,Negative
53,Does Joe Biden's presidential campaign face a make-or-break test in New Hampshire?,Biden,Neutral
54,Never-Trumpers in New Hampshire weigh protest primary vote,Trump,Negative
55,Rep. Max Rose warns Democratic Party establishment not to ignore 2018's recipe for success,Democratic Party,Neutral
56,"Brit Hume on bounces for Amy Klobuchar and Pete Buttigieg, slides for Joe Biden and Elizabeth Warren",Buttigieg,Positive
57,Pete Buttigieg praised Bernie Sanders in prize-winning high school essay,Sanders,Positive
58,Pete Buttigieg crisscrosses New Hampshire delivering closing argument ahead of first in the nation primary,Buttigieg,Neutral
59,Byron York on more bad news for Joe Biden,Biden,Negative
60,James Carville says Democrats cannot nominate Bernie Sanders,Sanders,Negative
61,Where does Tom Steyer stand on the issues?,Steyer,Neutral
62,"Biden fights for survival in New Hampshire, as electability argument put to test",Biden,Negative
63,"Rep. Devin Nunes warns Democrats may be concocting new Trump hoax, says Vindman's NSC ouster is long overdue",Democrats,Negative
64,"College student reacts to Joe Biden calling her a 'lying, dog-faced pony soldier'",Biden,Negative
65,Self-made billionaire weighs in on Bernie Sanders' proposed wealth-tax,Sanders,Neutral
66,"Buttigieg, Sanders keep Iowa momentum going into New Hampshire",Buttigieg,Positive
67,"Buttigieg, Sanders keep Iowa momentum going into New Hampshire",Sanders,Positive
68,Reporter's Notebook: Trump's impeachment trial and the power of prayer,Trump,Neutral
69,"Manchin hits back after Trump calls him 'weak,' 'corrupt' over impeachment vote",Trump,Neutral
70,"Trump budget would cut $4.4T in spending, boosting defense while slashing safety nets, foreign aid",Trump,Neutral
71,Buttigieg holds largest Dem rally in New Hampshire this election season,Buttigieg,Neutral
72,Latest New Hampshire polls show Bernie Sanders leading Pete Buttigieg,Sanders,Positive
73,Joe Biden looks to rebound in New Hampshire after finishing fourth in Iowa caucuses,Biden,Positive
74,"Biden admits Buttigieg, Sanders were 'better organized' in Iowa, his campaign took 'gut punch'",Biden,Negative
75,President Trump preparing to release $4.8 trillion budget proposal,Trump,Positive
76,Biden claims to be ahead in support with African American community,Biden,Positive
77,Sen. Scott: Trump’s approval with African Americans has been over 30 percent,Trump,Positive
78,Giuliani: Trump should 100 percent investigate Biden after Senate acquittal,Biden,Negative
79,Bloomberg uses Romney’s impeachment vote speech to bash Trump in new ad,Trump,Negative
80,Media split on Trump acquittal,Trump,Neutral
81,Did impeachment help Trump?,Trump,Neutral
82,"With primary two days out, Sanders leads followed by Buttigieg in latest polls in NH",Buttigieg,Positive
83,Sanders: 'Common sense suggests' Buttigieg would be compromised by wealthy donors,Buttigieg,Negative
84,"Mayor Pete Buttigieg on Iowa caucuses result, attacks from 2020 rivals, expectations for New Hampshire",Buttigieg,Neutral
85,"Buttigieg, Sanders supporters trade jeers -- and cheers -- 3 days before New Hampshire primary",Buttigieg,Positive
86,"Buttigieg, Sanders supporters trade jeers -- and cheers -- 3 days before New Hampshire primary",Sanders,Neutral
87,"Sen. Lindsey Graham on President Trump's acquittal in Senate impeachment trial, Mitt Romney's guilty vote",Trump,Neutral
88,Kellyanne Conway reacts to President Trump's acquittal at Senate impeachment trial,Trump,Neutral
89,"Rudy Giuliani on Trump's big week, investigating Hunter Biden",Biden,Negative
90,"Rudy Giuliani on Trump's big week, investigating Hunter Biden",Trump,Neutral
91,Biden zings Buttigieg: 'This guy's not a Barack Obama',Biden,Neutral
92,Buttigieg Rising: How ex-mayor aims to go 2-for-2 in New Hampshire and upend the 2020 race,Buttigieg,Positive
93,"Trump slams 'very insubordinate' Vindman, day after ouster from White House",Trump,Neutral
94,President Trump to release his fiscal 2021 budget,Trump,Neutral
95,"Gov. Chris Sununu talks New Hampshire primary, Trump's 'blue-collar boom'",Trump,Positive
96,Michael Bloomberg paying social media influencers to make him look cool,Bloomberg,Negative
97,Sanders with edge in two new polls in NH Buttigieg edges Sanders in a third,Sanders,Positive
98,"Biden defends ‘politics of the past,’ as Sanders hit over ‘socialist’ label, Buttigieg's experience questioned",Biden,Negative
99,"Biden defends ‘politics of the past,’ as Sanders hit over ‘socialist’ label, Buttigieg's experience questioned",Buttigieg,Negative
100,Tom Steyer talks about his differences with Joe Biden,Biden,Neutral
101,Tom Steyer talks about his differences with Joe Biden,Steyer,Neutral
102,2020 Democrats take the debate stage following messy Iowa caucuses,Democrats,Negative
103,Warren appears to target Buttigieg as she slams people who 'suck up to billionaires',Buttigieg,Negative
104,Yang tells Dem rivals: 'Donald Trump is the not the cause of all of our problems',Trump,Neutral
105,Buttigieg reportedly adds audience applause to town hall clip,Buttigieg,Negative
106,Joe Biden looks to rally in New Hampshire primary following disappointing Iowa caucus results,Biden,Negative
107,Tlaib says she held Omar's hand during 'triggering' moments at Trump's State of the Union,Trump,Neutral
108,Trump fires two major impeachment figures,Trump,Neutral
109,Joe Biden retreats home before New Hampshire debate,Biden,Negative
110,"Impeachment witness Vindman fired, escorted out of White House after Trump acquittal",Trump,Negative
111,"Iowa chaos, Bernie Sanders' surge deepens divisions in the Democratic Party",Sanders,Positive
112,"Christopher Steele's firm hits back at Trump, stands by dossier",Trump,Negative
113,House Democrats suggest plans to subpoena John Bolton,Democrats,Negative
114,RNC chair says most Americans want the Bidens' ties to Ukraine investigated,Biden,Negative
115,"Sanders slams Buttigieg in New Hampshire over 'billionaire donors,' as race tightens",Buttigieg,Negative
116,"Sanders slams Buttigieg in New Hampshire over 'billionaire donors,' as race tightens",Sanders,Negative
117,Buttigieg boom in New Hampshire looks real,Buttigieg,Positive
118,"Warren appears to agree with supporter that AIPAC is an 'unholy alliance' of 'Islamophobes,' 'white nationalists'",Warren,Neutral
119,President Trump says congressional Democrats have Trump derangement syndrome,Trump,Negative
120,"Iowa caucus results too close to call as Sanders, Buttigieg finish in virtual tie",Buttigieg,Neutral
121,"Iowa caucus results too close to call as Sanders, Buttigieg finish in virtual tie",Sanders,Neutral
122,Ex-GOP Rep. Joe Walsh ends primary bid against Trump,Trump,Neutral
123,Media 'triggered' by Trump's post-acquittal victory lap,Trump,Neutral
124,Judge Jeanine sounds off on Democrats' ongoing hatred of Trump,Trump,Negative
125,Will Republicans move to expunge Trump's impeachment if they win back the House?,Republicans,Neutral
126,Trump and Pelosi clash in wake of impeachment acquittal,Trump,Neutral
127,"Treasury complies with GOP Senate inquiry, hands over highly confidential info on Hunter Biden, report says",GOP,Positive
128,Trump celebrates impeachment trial acquittal,Trump,Positive
129,Pete Buttigieg says Trump has 'very different take on faith' than he does after comments at prayer breakfast,Trump,Negative
130,Sen. Mazie Hirono says Trump 'wasn't acquitted' because he had a 'rigged' impeachment trial,Trump,Negative
131,"Trump blames James Comey, 'dirty cops' for leading a political witch hunt",Trump,Negative
132,"Warren, in apology, cites America's 'long legacy' of 'racism and oppression' after women of color quit Nevada campaign",Warren,Neutral
133,Congressional Democrats mull continuing investigations of President Trump,Trump,Negative
134,President Trump celebrates after Senate impeachment trial acquittal,Trump,Positive
135,"Sanders defiantly declares victory in disputed Iowa contest, amid caucus confusion",Sanders,Positive
136,Sen. Scott addresses Mitt Romney's decision to convict Trump,Trump,Neutral
137,Trump says first-of-its-kind Kenya trade deal 'probably' will happen,Trump,Positive
138,Here are the prisons that house convicted Trump associates,Trump,Negative
139,Sen. Martha McSally on whether Senate will investigate Hunter Biden following Trump's impeachment acquittal,Biden,Neutral
140,President Trump makes remarks following Senate impeachment acquittal,Trump,Neutral
141,"Trump slams Romney during acquittal victory lap, says he's bitter over 2012 loss",Trump,Neutral
142,"Sanders, Warren campaigns pay to offset almost 4,000 tons in carbon emissions: report",Warren,Positive
143,Trump claims he wouldn't be 'standing here' if he hadn't fired 'sleazebag' Comey,Trump,Negative
144,Trump condemns ‘evil’ impeachment after Senate acquittal: ‘It was a disgrace’,Trump,Neutral
145,Biden's poor Iowa showing dramatically ups the stakes in New Hampshire,Biden,Negative
146,John Yoo warns Democrats that renewing impeachment charges against President Trump would be a mistake,Democrats,Negative
147,"Acquitted: Senate finds Trump not guilty of abuse of power, obstruction of Congress",Trump,Positive
148,Stephanie Grisham says White House is prepared for Democrats to continue their efforts to hurt President Trump,Trump,Negative
149,"Buttigieg soars, Biden slips, Sanders still on top in newest New Hampshire poll",Buttigieg,Positive
150,Kurtz: Trump touts comeback Democrats hobbled by Iowa,Trump,Neutral
151,Can Mitt Romney actually be expelled from the Republican Party?,Republican Party,Neutral
152,"House impeachment managers say Trump, Senate permanently stained by trial",Trump,Negative
153,Trump celebrates winning streak after acquittal,Trump,Positive
154,"Fox News voter analysis shows Biden, Buttigieg, Klobuchar, Sanders, Warren in the hunt",Biden,Neutral
155,"Fox News voter analysis shows Biden, Buttigieg, Klobuchar, Sanders, Warren in the hunt",Sanders,Positive
156,"Trump supporters flood hotline for Iowa precinct chairs, adding to the confusion: report",Trump,Neutral
157,Warren says male candidates 'wrong' if they think they have a better chance of beating Trump,Warren,Neutral
158,Buttigieg narrowly holds lead in Iowa caucuses with 97 percent of precincts reporting,Buttigieg,Positive
159,Democratic candidates react to Trumps State of the Union speech ahead of primary,Trump,Neutral
160,Republicans seek Hunter Biden travel records from Secret Service shortly after Trump acquittal,Biden,Negative
161,Republicans seek Hunter Biden travel records from Secret Service shortly after Trump acquittal,Republicans,Neutral
162,"Trump jabs at Dems, Mitt Romney with 'Love Hurts,' 'Democrat secret asset' videos",Trump,Negative
163,Biden criticizes Limbaugh's Medal of Freedom award: 'I don't think he understands the American code of decency and honor',Biden,Negative
164,Pete Buttigieg leads in Iowa with 92 percent of precincts reporting,Buttigieg,Positive
165,Is there a behind-the-scenes effort to to prevent Bernie Sanders from getting the Democratic nomination?,Sanders,Negative
166,Pirro: This impeachment will be detrimental to the Democrats,Democrats,Negative
167,Biden heads to South Carolina before New Hampshire polls close,Biden,Neutral
168,Trump: I'd rather run against Bloomberg than Bernie Sanders,Bloomberg,Neutral
169,Trump: I'd rather run against Bloomberg than Bernie Sanders,Sanders,Neutral
170,Joe Biden takes aim at Pete Buttigieg after 'gut punch' in Iowa,Biden,Negative
171,"Sen. Romney votes to convict Trump, breaking with Senate GOP",Trump,Negative
172,"After impeachment, Trump, Pelosi, Romney and media keep the war going",Trump,Negative
173,Buttigieg vies for top spot in New Hampshire,Buttigieg,Positive
174,"Deval Patrick, Latecomer to the 2020 Race, Drops Out",Patrick,Neutral
175,Trump Praises Attorney General for Intervening in Stone Case,Trump,Neutral
176,"Sanders Won, Klobuchar Surged: What We Learned From New Hampshire",Sanders,Positive
177,Sanders Is Victorious in New Hampshire Primary,Sanders,Positive
178,"‘I Am Suspending My Campaign,’ Yang Says",Yang,Neutral
179,Andrew Yang Drops Out of Presidential Race,Yang,Negative
180,How the Founder of Black Voters Matter Thinks About Bloomberg,Bloomberg,Neutral
181,Moderate Democrats Fear Bernie Sanders Could Cost Them the House,Sanders,Negative
182,Democrats Got Endorsements From Lawmakers on Their Campaigns’ Payrolls,Democrats,Positive
183,Amy Klobuchar Is Pressed on ‘The View’ Over Her Record as a Prosecutor,Klobuchar,Neutral
184,"Elizabeth Warren, in New Memo, Outlines Her Path and Rivals’ Flaws",Warren,Neutral
185,A Rare Trump-Era Climate Policy Hits an Obstacle: The Tax Man,Trump,Negative
186,Bloomberg’s Blunt Defense of Stop-and-Frisk Policy Draws Scrutiny,Bloomberg,Negative
187,Elizabeth Warren Is Running Her Race. The Real One May Be Passing Her By.,Warren,Negative
188,"Trump Lashes Out at Manchin, and He Pushes Back",Trump,Negative
189,"Biden Braces for a Rough New Hampshire Vote, Setting Expectations Low",Biden,Negative
190,Amazon Looks to Question Trump in Pentagon Contracting Case,Trump,Neutral
191,Andrew Yang’s Campaign Is Riding on New Hampshire,Yang,Neutral
192,Mitt Romney Is a ‘Judas’ to Many Republicans. But Not in Utah.,Republicans,Neutral
193,"Sanders and Buttigieg Clash, Aiming for a Two-Person Race",Sanders,Neutral
194,"Justice Dept. Reviewing Information From Giuliani on the Bidens, Graham Says",Biden,Neutral
195,Iowa Democrats Give Buttigieg the Most Delegates as Sanders Team Seeks Recanvass,Buttigieg,Positive
196,Biden Slashes Into Buttigieg: ‘This Guy’s Not a Barack Obama!’,Buttigieg,Negative
197,"Wobbly After Iowa, Biden Confronts a Perilous Moment",Biden,Negative
198,Trump's 2020 Re-Election Challenges and Strategy to Win,Trump,Neutral
199,Amy Klobuchar Compares ‘Cool Newcomer’ Pete Buttigieg to Trump,Buttigieg,Neutral
200,Elizabeth Warren Has a Pete Buttigieg Problem,Buttigieg,Neutral
201,Elizabeth Warren Has a Pete Buttigieg Problem,Warren,Negative
202,"Buttigieg Leads Sanders in Iowa Delegates, 13-12. So, Who Won?",Buttigieg,Positive
203,How Pete Buttigieg Became the Surprise of the Iowa Caucuses,Buttigieg,Positive
204,"Democratic Candidates Reject Trump’s Foreign Policy, but Don’t Agree on Theirs",Trump,Negative
205,Andrew Yang - Foreign Policy,Yang,Neutral
206,Michael Bloomberg - Foreign Policy,Bloomberg,Neutral
207,Bernie Sanders - Foreign Policy,Sanders,Neutral
208,Elizabeth Warren - Foreign Policy,Warren,Neutral
209,Pete Buttigieg - Foreign Policy,Buttigieg,Neutral
210,What It’s Like to Be the Face of Trump’s Super Bowl Ad,Trump,Neutral
211,"Bloomberg Pursues Wealthy Donors, but Not Their Checkbooks",Bloomberg,Neutral
212,Republicans in Senate Press On With Investigation Into Hunter Biden,Republicans,Neutral
213,Violence Surges in Wake of Trump’s Mideast Plan,Trump,Negative
214,"‘Urban Legend’ or Authentic Trump Autograph? Either Way, It Sells",Trump,Positive
215,Impeachment Briefing: Trump Is Acquitted,Trump,Positive
216,Trump Gives Venezuela’s Guaidó the Embrace He Wanted,Trump,Positive
217,Full Transcript: Mitt Romney’s Speech Announcing Vote to Convict Trump,Trump,Neutral
218,Trump Acquitted of Two Impeachment Charges in Near Party-Line Vote,Trump,Neutral
219,Romney Says He Will Vote to Convict Trump,Trump,Negative
220,Trump Impeachment Results: How Democrats and Republicans Voted,Trump,Neutral
221,"Romney, Defying the Party He Once Personified, Votes to Convict Trump",Trump,Negative
222,What Went Wrong for Joe Biden in Iowa,Biden,Negative
223,The Trump Fans Who Think Impeachment Was ‘Exactly’ What His Base Needed,Trump,Neutral
224,"Senate Acquits Trump, Ending Historic Trial",Trump,Positive
225,Trump’s Reality-TV State of the Union Argues for Another Season,Trump,Negative
226,"Assured of Acquittal, Trump Makes Case for a Second Term",Trump,Positive
227,Full Video: Democratic Response to Trump’s State of the Union Speech,Trump,Neutral
228,Trump Awards Rush Limbaugh the Presidential Medal of Freedom,Trump,Positive
229,Trump and Pelosi Exchange Snubs at the State of the Union Address,Trump,Negative
230,Full Video: Trump’s State of the Union Speech,Trump,Neutral
231,"Cruise Ship, Democrats, Academy Awards: Your Monday Briefing",Democrats,Neutral
232,New York to Sue Trump Administration Over Global Entry Freeze,Trump,Negative
233,"Wuhan, Trump, Oscars: Your Friday Briefing",Trump,Neutral
234,"Donald Trump, Iowa Caucus, Kirk Douglas: Your Thursday Briefing",Trump,Neutral
235,"Pete Buttigieg, Coronavirus, Tesla: Your Wednesday Briefing",Buttigieg,Neutral
236,"Sans Gavel, Roberts Is Among 4 Justices at Trump Speech",Trump,Neutral
237,"Veronica Escobar to Focus on Health Care, Guns in Spanish-Language Response to Trump",Trump,Neutral
238,"Iowa Democrats Release Partial Caucus Results, but No Winner Yet",Democrats,Neutral
239,"White House Excludes CNN From Trump Session, With No Protest",Trump,Neutral
240,"Veronica Escobar to Focus on Health Care, Guns in Spanish-Language Response to Trump",Trump,Neutral
241,Guests Help Trump Highlight State of the Union Themes,Trump,Neutral
242,Bloomberg Doubles Ad Spending After Chaos of Iowa Caucuses,Bloomberg,Positive
243,Diplomat Ousted and Slammed by Trump Gets Diplomacy Award,Trump,Negative
244,U.S. Judge Denied Trump Adviser Stone's Request for a New Trial: Filing,Trump,Neutral
245,Moderate Democrats Fear Bernie Sanders Could Cost Them the House,Sanders,Negative
246,Tom Steyer and Bernie Sanders Got Endorsements From Lawmakers on Their Campaigns’ Payrolls,Sanders,Positive
247,"Deval Patrick, Last Black Candidate in 2020 Race, Drops Out",Patrick,Negative
248,"In Wake of Impeachment, Trump Allies Boycott House Intelligence Tech Hearing",Trump,Negative
249,Lawmakers Want Ivanka Trump's Women's Program to Become Law,Trump,Positive
250,"U.S. Election: Klobuchar Up, Three Men Out",Klobuchar,Positive
251,U.S. Presidential Candidate Bloomberg Endorsed by Three Black Lawmakers,Bloomberg,Positive
252,Steyer Hires Longest-Serving SC House Lawmaker as Adviser,Steyer,Neutral
253,Democrats Demand Probe of Trump Role in Stone Case Republicans Unmoved,Trump,Negative
254,How Amy Klobuchar Pulled Off the Big Surprise of the New Hampshire Primary,Klobuchar,Positive
255,President Trump Makes Pick for Next Ambassador to Canada,Trump,Neutral
256,Analysis: Sanders Win Ups Pressure on Moderates to Coalesce,Sanders,Positive
257,"Angry With Trump, Most New Hampshire Democratic Primary Voters Will Back Party's Nominee 'Regardless': Edison Research",Trump,Negative
258,Sanders Projected to Win the New Hampshire Democratic Primary: NBC News,Sanders,Positive
259,Bennet Ends 2020 Bid After Poor Showing in New Hampshire,Bennet,Negative
260,"Yang, Who Created Buzz With Freedom Dividend, Ends 2020 Bid",Yang,Negative
261,Businessman Andrew Yang Ends Eclectic Presidential Bid,Yang,Negative
262,"Exit Polls: Sanders, Buttigieg, Klobuchar Locked in Tight Race for New Hampshire",Buttigieg,Positive
263,Trump Wins Republican Presidential Primary in New Hampshire: Edison Research,Trump,Positive
264,Trump Wants Pentagon to Review Impeachment Witness' Conduct,Trump,Neutral
265,"With Trump’s Trial Over, Lawmakers Ponder How to Conduct the Next One",Trump,Positive
266,Report Says Man Who Drove Into GOP Tent Didn't Like Trump,Trump,Negative
267,"AP VoteCast: Young, Liberal Voters Key to Sanders’ NH Win",Sanders,Positive
268,"Democrats Get the Attention, but Trump Aims to Put New Hampshire in Play",Trump,Positive
269,Klobuchar Faces Tough Questioning in Case of Juvenile Lifer,Klobuchar,Negative
270,Trump and Bloomberg Call Each Other Racist as 2020 Election Fight Heats Up,Trump,Negative
271,"Trump, First Lady to Host State Dinner in April for Spain",Trump,Neutral
272,Bloomberg Embraces Stop and Frisk in Resurfaced 2015 Audio,Bloomberg,Neutral
273,Bloomberg’s Blunt Defense of Stop-and-Frisk Policy Draws Scrutiny,Bloomberg,Negative
274,Nevada Democrats to Rely on Paper-Based Early Caucus Voting,Democrats,Neutral
275,"Angry With Trump, Most New Hampshire Democratic Primary Voters Will Back Party's Nominee 'Regardless': Edison Research",Trump,Negative
276,"AP VoteCast: NH Democrats Angry, Seek Alternative to Trump",Democrats,Neutral
277,"AP VoteCast: NH Democrats Angry, Seek Alternative to Trump",Trump,Negative
278,"AP VoteCast: Young, Liberal Voters Key to Sanders’ NH Win",Sanders,Neutral
279,U.S. Justice Department Declines to Offer Court Sentencing Guidance on Trump Adviser Stone,Trump,Neutral
280,Trump Says Military May Consider Discipline for Ousted Aide Vindman,Trump,Neutral
281,Trump Says He Did Not Intervene in Justice Department's Handling of Roger Stone Case,Trump,Neutral
282,Klobuchar Faces Tough Questioning in Case of Juvenile Lifer,Klobuchar,Negative
283,"In Wake of Impeachment, Trump Allies Boycott House Intelligence Tech Hearing",Trump,Neutral
284,U.S. Presidential Candidate Bloomberg Endorsed by Three Black Lawmakers,Bloomberg,Positive
285,Buttigieg Lands Black South Carolina Lawmaker's Endorsement,Buttigieg,Positive
286,"Bloomberg Buffeted by Recording of Him Discussing Crime, Minorities",Bloomberg,Negative
287,"Trump, First Lady to Host State Dinner in April for Spain",Trump,Neutral
288,Bloomberg’s Blunt Defense of Stop-and-Frisk Policy Draws Scrutiny,Bloomberg,Neutral
289,"The Latest: Top Nevada Union Warns About Sanders, Warren",Warren,Negative
290,Biden Heading to South Carolina Sanders Steady as New Hampshire Votes,Biden,Neutral
291,"Sanders Edges Buttigieg in NH, Giving Dems 2 Front-Runners",Buttigieg,Negative
292,Elizabeth Warren Is Running Her Race. The Real One May Be Passing Her By.,Warren,Neutral
293,"Sanders Narrowly Wins New Hampshire Democratic Primary, Biden Lags Badly",Sanders,Positive
294,Trump Pays Tribute to 2 Soldiers Killed in Afghanistan,Trump,Positive
295,Trump Budget Calls for New Nuclear Warheads and 2 Types of Missiles,Trump,Neutral
296,Klobuchar Surge in New Hampshire Could Reshuffle Democratic White House Race,Klobuchar,Positive
297,Sanders and Buttigieg Close Out New Hampshire Pitching Different Visions,Buttigieg,Neutral
298,U.S. Seeks Prison Term of 7-9 Years for Trump's Longtime Adviser Roger Stone,Trump,Neutral
299,"Trump, First Lady Will Travel to India in Late February",Trump,Neutral
300,"Biden Slumps, Bloomberg Surges Nationally as Democratic Race Heats Up: Poll",Bloomberg,Positive
301,"Trump, Manchin Trading Barbs as Impeachment Feud Boils Over",Trump,Negative
302,"Buttigieg, Sanders Campaigns Request Iowa Recanvass: Iowa Democrats",Democrats,Neutral
303,"Buttigieg, Sanders Campaigns Request Iowa Recanvass: Iowa Democrats",Sanders,Neutral
304,"Trump Proposes Cutting Amtrak Funding, Boosting Infrastructure Spending",Trump,Neutral
305,"Trump's Pentagon Budget Bolsters Nuclear Weapons, Weapons Research",Trump,Neutral
306,Revolution or Realism? NH Tests Democrats' Call for Change,Democrats,Neutral
307,Trump's $4.8 Trillion Budget Gets Chilly Reception From Congress,Trump,Negative
308,"Texas Democrats Weighing Ballots, Bullets in 2020 Campaigns",Democrats,Neutral
309,Elizabeth Warren's Challenge: Breaking Out of Murky Middle,Warren,Negative
310,"Buttigieg, Sanders Campaigns Request Iowa Caucus Recanvass",Buttigieg,Neutral
311,Trump's $4.8 Trillion Budget Proposal Revisits Rejected Cuts,Trump,Negative
312,How the Iowa Caucuses Became an Epic Fiasco for Democrats,Democrats,Negative
313,Buttigieg Edges Past Sanders in Iowa's National Delegate Race: State Party,Buttigieg,Positive
314,Buttigieg on Defense as Rivals Aim to Blunt His Momentum,Buttigieg,Negative
315,"Justice Dept. Reviewing Information From Giuliani on the Bidens, Graham Says",Biden,Negative
316,Trump to Propose $4.8 Trillion Budget With More Border Wall Funding,Trump,Neutral
317,"Trump Slashes Foreign Aid, Cuts Safety Net Programs in New Budget Proposal",Trump,Negative
318,The Latest: Warren Says She's Best Positioned to Beat Trump,Trump,Neutral
319,West Virginia Democrat Fires Back at Trump Criticism,Trump,Negative
320,On the 2020 Trail: Sanders Blasts Buttigieg for Taking Billionaire Bucks,Sanders,Neutral
321,NH Poses a Last Chance for Some Struggling 2020 Democrats,Democrats,Negative
322,Biden Slashes Into Buttigieg: ‘This Guy’s Not a Barack Obama!’,Biden,Neutral
323,Trump Has Reshaped the Judiciary. Here’s How the 2020 Democrats Would Address That.,Democrats,Positive
324,Trump Has Reshaped the Judiciary. Here’s How the 2020 Democrats Would Address That.,Trump,Neutral
325,"The Latest: Biden: First Two States Important, Not Critical",Biden,Neutral
326,Biden Tells NH Democrats That Buttigieg 'Not a Barack Obama',Biden,Neutral
327,"Wobbly After Iowa, Biden Confronts a Perilous Moment",Biden,Neutral
328,"On the Campaign Trail: Biden Slams Buttigieg,' Guess What? He Was a Mayor'",Biden,Neutral
329,Democrats on Edge After 2020 Election Season's Ragged Launch,Democrats,Negative
330,"Oregon Candidate, Once a Trump Critic, Now Embraces Him",Trump,Positive
331,'OUT': Trump Says He Was Right to Remove 'Insubordinate' NSC Aide,Trump,Positive
